,speech
198,"{'sdr': 3.9924755692481995, 'r2': 0.7148997783660889, 'rmse': 0.03551209}"
199,"{'sdr': 4.229302406311035, 'r2': 0.7258837223052979, 'rmse': 0.034556914}"
200,"{'sdr': 4.51641172170639, 'r2': 0.7388397455215454, 'rmse': 0.033433314}"
201,"{'sdr': 4.555087089538574, 'r2': 0.7405531406402588, 'rmse': 0.033284776}"
202,"{'sdr': 7.248006463050842, 'r2': 0.8414321690797806, 'rmse': 0.024411796}"
203,"{'sdr': 1.2055042386054993, 'r2': 0.5689521729946136, 'rmse': 0.04894686}"
204,"{'sdr': 3.3308017253875732, 'r2': 0.6828579306602478, 'rmse': 0.03832304}"
205,"{'sdr': 5.620360374450684, 'r2': 0.7848459631204605, 'rmse': 0.029442994}"
206,"{'sdr': 2.6714184880256653, 'r2': 0.6491071581840515, 'rmse': 0.04134558}"
207,"{'sdr': 5.238073468208313, 'r2': 0.7696100920438766, 'rmse': 0.030767793}"
208,"{'sdr': 6.293590664863586, 'r2': 0.8098679631948471, 'rmse': 0.027247112}"
209,"{'sdr': 7.4798643589019775, 'r2': 0.8484253436326981, 'rmse': 0.023768771}"
210,"{'sdr': 4.532113969326019, 'r2': 0.7395357489585876, 'rmse': 0.033372927}"
211,"{'sdr': 6.915642023086548, 'r2': 0.8309513032436371, 'rmse': 0.02536401}"
212,"{'sdr': 6.877692937850952, 'r2': 0.829719603061676, 'rmse': 0.02547507}"
213,"{'sdr': 2.2241950035095215, 'r2': 0.6253079175949097, 'rmse': 0.043530162}"
214,"{'sdr': 7.150241136550903, 'r2': 0.8384038954973221, 'rmse': 0.02468812}"
215,"{'sdr': 2.1588823199272156, 'r2': 0.6217774152755737, 'rmse': 0.043858714}"
216,"{'sdr': 1.7851343750953674, 'r2': 0.6013375818729401, 'rmse': 0.04578711}"
217,"{'sdr': 1.7486433684825897, 'r2': 0.599321722984314, 'rmse': 0.04597988}"
218,"{'sdr': 4.53710675239563, 'r2': 0.7397571206092834, 'rmse': 0.033353753}"
219,"{'sdr': 6.086181998252869, 'r2': 0.8024062216281891, 'rmse': 0.027905572}"
220,"{'sdr': 4.317414462566376, 'r2': 0.7299011051654816, 'rmse': 0.03420813}"
